"ano","codmunres","municipio","cobertura_sinasc"
2015,"150150","Benevides",97.8
2015,"150157","Bom Jesus do Tocantins",96.9
2015,"150160","Bonito",96.8
2015,"150170","Bragança",97.3
2015,"150172","Brasil Novo",95.9
2015,"150175","Brejo Grande do Araguaia",98.6
2015,"150178","Breu Branco",99.2
2015,"150180","Breves",95.8
2015,"150190","Bujaru",94.1
2015,"150195","Cachoeira do Piriá",95.3
2015,"150200","Cachoeira do Arari",80.2
2015,"150210","Cametá",95.1
2015,"150215","Canaã dos Carajás",99.1
2015,"150220","Capanema",99.3
2015,"150230","Capitão Poço",95.7
2015,"150240","Castanhal",99.4
2015,"150250","Chaves",87.1
2015,"150260","Colares",97.5
2015,"150270","Conceição do Araguaia",97.5
2015,"150275","Concórdia do Pará",96.5
2015,"150276","Cumaru do Norte",94.9
2015,"150277","Curionópolis",98.2
2015,"150280","Curralinho",78.2
2015,"150285","Curuá",95.3
2015,"150290","Curuçá",95.4
2015,"150293","Dom Eliseu",98.8
2015,"150295","Eldorado do Carajás",99.3
2015,"150300","Faro",94.1
2015,"150304","Floresta do Araguaia",95.8
2015,"150307","Garrafão do Norte",92.4
2015,"150309","Goianésia do Pará",96.4
2015,"150310","Gurupá",90.2
2015,"150320","Igarapé-Açu",93.9
2015,"150330","Igarapé-Miri",95.2
2015,"150340","Inhangapi",96
2015,"150345","Ipixuna do Pará",96.6
2015,"150350","Irituia",95.3
2015,"150360","Itaituba",61.5
2015,"150370","Itupiranga",98.1
2015,"150375","Jacareacanga",94.5
2015,"150380","Jacundá",96.9
2015,"150390","Juruti",88.7
2015,"150400","Limoeiro do Ajuru",92.1
2015,"150405","Mãe do Rio",97.4
2015,"150410","Magalhães Barata",97.4
2015,"150420","Marabá",97.8
2015,"150430","Maracanã",96
2015,"150440","Marapanim",96
2015,"150442","Marituba",99.5
2015,"150445","Medicilândia",96.8
2015,"150450","Melgaço",95.8
2015,"150460","Mocajuba",94
2015,"150470","Moju",94.1
2015,"150475","Mojuí dos Campos",97.5
2015,"150480","Monte Alegre",97.9
2015,"150490","Muaná",92.9
2015,"150495","Nova Esperança do Piriá",95.3
2015,"150497","Nova Ipixuna",97.2
2015,"150500","Nova Timboteua",97.3
2015,"150503","Novo Progresso",96.8
2015,"150506","Novo Repartimento",93.6
2015,"150510","Óbidos",96.4
2015,"150520","Oeiras do Pará",95.3
2015,"150530","Oriximiná",96.5
2015,"150540","Ourém",95
2015,"150543","Ourilândia do Norte",96.4
2015,"150548","Pacajá",96.8
2015,"150549","Palestina do Pará",95.9
2015,"150550","Paragominas",96.9
2015,"150553","Parauapebas",99.2
2015,"150555","Pau D'Arco",84.8
2015,"150560","Peixe-Boi",94.3
2015,"150563","Piçarra",97.5
2015,"150565","Placas",88.7
2015,"150570","Ponta de Pedras",88.6
2015,"150580","Portel",95.4
2015,"150590","Porto de Moz",93
2015,"150600","Prainha",92.8
2015,"150610","Primavera",98.7
2015,"150611","Quatipuru",94.4
2015,"150613","Redenção",98.8
2015,"150616","Rio Maria",95.1
2015,"150618","Rondon do Pará",98.1
2015,"150619","Rurópolis",81.2
2015,"150620","Salinópolis",96.6
2015,"150630","Salvaterra",96.7
2015,"150635","Santa Bárbara do Pará",98.1
2015,"150640","Santa Cruz do Arari",94.1
2015,"150650","Santa Izabel do Pará",97.6
2015,"150655","Santa Luzia do Pará",96.7
2015,"150658","Santa Maria das Barreiras",94.9
2015,"150660","Santa Maria do Pará",98
2015,"150670","Santana do Araguaia",94.1
2015,"150680","Santarém",97.9
2015,"150690","Santarém Novo",91.6
2015,"150700","Santo Antônio do Tauá",96.7
2015,"150710","São Caetano de Odivelas",97.7
2015,"150715","São Domingos do Araguaia",94.7
2015,"150720","São Domingos do Capim",97.1
2015,"150730","São Félix do Xingu",96.9
2015,"150740","São Francisco do Pará",98.7
2015,"150745","São Geraldo do Araguaia",95.2
2015,"150746","São João da Ponta",86.9
2015,"150747","São João de Pirabas",96
2015,"150750","São João do Araguaia",91.2
2015,"150760","São Miguel do Guamá",98.1
2015,"150770","São Sebastião da Boa Vista",94
2015,"150775","Sapucaia",99.4
2015,"150780","Senador José Porfírio",95.7
2015,"150790","Soure",96
2015,"150795","Tailândia",97
2015,"150796","Terra Alta",86.8
2015,"150797","Terra Santa",93.8
2015,"150800","Tomé-Açu",96
2015,"150803","Tracuateua",95.6
2015,"150805","Trairão",83.2
2015,"150808","Tucumã",99.6
2015,"150810","Tucuruí",97
2015,"150812","Ulianópolis",98.3
2015,"150815","Uruará",99.1
2015,"150820","Vigia",95.8
2015,"150830","Viseu",90.6
2015,"150835","Vitória do Xingu",94.9
2015,"150840","Xinguara",99.3
2015,"160005","Serra do Navio",99.4
2015,"160010","Amapá",96.3
2015,"160015","Pedra Branca do Amapari",85.7
2015,"160020","Calçoene",95
2015,"160021","Cutias",91.1
2015,"160023","Ferreira Gomes",95.3
2015,"160025","Itaubal",95.5
2015,"160027","Laranjal do Jari",95.9
2015,"160030","Macapá",97.8
2015,"160040","Mazagão",85.3
2015,"160050","Oiapoque",91.8
2015,"160053","Porto Grande",91.8
2015,"160055","Pracuúba",79.5
2015,"160060","Santana",95.5
2015,"160070","Tartarugalzinho",92.5
2015,"160080","Vitória do Jari",91.9
2015,"170025","Abreulândia",87.7
2015,"170030","Aguiarnópolis",98.8
2015,"170035","Aliança do Tocantins",99.8
2015,"170040","Almas",97.6
2015,"170070","Alvorada",96.7
2015,"170100","Ananás",98.6
2015,"170105","Angico",92.9
2015,"170110","Aparecida do Rio Negro",94.2
2015,"170130","Aragominas",98.2
2015,"170190","Araguacema",95.6
2015,"170200","Araguaçu",97.9
2015,"170210","Araguaína",99.4
2015,"170215","Araguanã",95.1
2015,"170220","Araguatins",98
2015,"170230","Arapoema",98.8
2015,"170240","Arraias",99.2
2015,"170255","Augustinópolis",96.7
2015,"170270","Aurora do Tocantins",99.8
2015,"170290","Axixá do Tocantins",98.4
2015,"170300","Babaçulândia",89.1
2015,"170305","Bandeirantes do Tocantins",97.5
2015,"170307","Barra do Ouro",97.5
2015,"170310","Barrolândia",98.5
2015,"170320","Bernardo Sayão",99.7
2015,"170330","Bom Jesus do Tocantins",92.6
2015,"170360","Brasilândia do Tocantins",93.9
2015,"170370","Brejinho de Nazaré",94.5
2015,"170380","Buriti do Tocantins",97.4
2015,"170382","Cachoeirinha",93.1
2015,"170384","Campos Lindos",97.5
2015,"170386","Cariri do Tocantins",99.8
2015,"170388","Carmolândia",99.8
2015,"170389","Carrasco Bonito",99.8
2015,"170390","Caseara",94.4
2015,"170410","Centenário",99.6
2015,"170460","Chapada de Areia",94.9
2015,"170510","Chapada da Natividade",97.5
2015,"170550","Colinas do Tocantins",98.3
2015,"170555","Combinado",96.4
2015,"170560","Conceição do Tocantins",91.8
